Team ,Season,GF,GA,GD,Pts,Pos,Bounced_Back,PremiershipSeason
Fulham,2021-22,106,43,63,90,1,1,2022-23
Bournemouth,2021-22,74,39,35,88,2,0,2022-23
Nottingham Forest,2021-22,73,40,33,80,3,0,2022-23
Norwich,2020-21,75,36,39,97,1,1,2021-22
Watford,2020-21,63,30,33,91,2,1,2021-22
Brentford,2020-21,79,42,37,87,3,0,2021-22
Leeds,2019-20,77,35,42,93,1,0,2020-21
West Brom,2019-20,77,45,32,83,2,0,2020-21
Fulham,2019-20,64,48,16,81,3,1,2020-21
Norwich,2018-19,93,57,36,94,1,0,2019-20
Sheffield Utd,2018-19,78,41,37,89,2,0,2019-20
Aston Villa,2018-19,82,61,21,76,3,0,2019-20
Wolves,2017-18,82,39,43,99,1,0,2018-19
Cardiff City,2017-18,69,39,30,90,2,0,2018-19
Fulham,2017-18,79,46,33,88,3,0,2018-19
Newcastle ,2016-17,85,40,45,94,1,1,2017-18
Brighton,2016-17,74,40,34,93,2,0,2017-18
Huddersfield Town,2016-17,56,58,-2,81,3,0,2017-18
Burnley,2015-16,72,35,37,93,1,1,2016-17
Middlesbrough,2015-16,63,31,32,89,2,0,2016-17
Hull City,2015-16,69,35,34,83,3,1,2016-17
